catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,elevationunits,verbatimelevation,verbatimcoordinates,georeferencedby,georeferencesources,host,occurrenceremarks,lifestage,sex,individualcount,samplingprotocol,preparations,typestatus,ownerinstitutioncode,basisofrecord,language
UMSP000333505,Tinkham,E.R.,,1931,8,13,"Aug. 13, 1931",Acmaeodera gibbula,LeConte,,buprestidae,Knull,1938,USA,Nevada,,"Mt. Charleston, 40 mi. N.W. Las Vegas, Nevada",,,7500,feet,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333506,Lugger,O.,,1922,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333507,Mickel,C.E.,,1939,9,24,Sept. 24 1939,Acmaeodera gibbula,LeConte,,buprestidae,Knull,1943,USA,Arizona,,"Tuscon, Sabino Canyon / Santa Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333508,Mickel,C.E.,,1939,9,24,Sept. 24 1939,Acmaeodera gibbula,LeConte,,buprestidae,Knull,1943,USA,Arizona,,"Tuscon, Sabino Canyon / Santa Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333509,Mickel,C.E.,,1939,9,24,Sept. 24 1939,Acmaeodera gibbula,LeConte,,buprestidae,Knull,1942,USA,Arizona,,"Tuscon, Sabino Canyon / Santa Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333510,Mickel,C.E.,,1939,9,24,Sept. 24 1939,Acmaeodera gibbula,LeConte,,buprestidae,Knull,1943,USA,Arizona,,"Tuscon, Sabino Canyon / Santa Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333511,Mickel,C.E.,,1939,9,24,Sept. 24 1939,Acmaeodera gibbula,LeConte,,buprestidae,Knull,1943,USA,Arizona,,"Tuscon, Sabino Canyon / Santa Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333512,Mickel,C.E.,,1962,11,9,"November 9, 1962",Acmaeodera gibbula,LeConte,,buprestidae,R.L. Westcott,,USA,Arizona,Pima,"Pima Canyon, St. Catalina Mts.",,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333513,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333514,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333515,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333516,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333517,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333518,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333519,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333520,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333521,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333522,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333523,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333524,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333525,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333526,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333527,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333528,Letcher,H.,,1923,7,20,"July 20, 1923",Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1928,USA,Arizona,,Douglas,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333529,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333530,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333531,Lugger,O.,,,,,,Acmaeodera gibbula,LeConte,,buprestidae,J.N. Knull,1922,USA,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333532,Lugger,O.,,,,,,Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333533,Lugger,O.,,,,,,Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333534,,,,,,,,Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333535,Lugger,O.,,,,,,Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333536,,,,1922,6,20,6-20-22,Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,,USA,California,,Mt. Hamilton,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333537,Dawson,R.W.,,1937,6,7,"June 7 , 1937",Acmaeodera hepburni,LeConte,,buprestidae,J.N. Knull,,USA,California,,Auberry,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333538,Dawson,R.W.,,1937,6,8,"June 8 , 1937",Acmaeodera hepburni,LeConte,,buprestidae,Knull,1938,USA,California,,Tollhouse,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333539,,,,1940,6,6,VI 6-1940,Acmaeodera hepburni,LeConte,,buprestidae,C.A. Frost,,USA,California,,Kaweah,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333540,Knull,J.N.,,1935,6,3,VI-3-25,Acmaeodera hulli,Knull,,buprestidae,Knull,1942,USA,Arizona,,Chiricahua M.,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333541,Knull,J.N.,,1935,6,3,VI-3-25,Acmaeodera hulli,Knull,,buprestidae,Knull,1943,USA,Arizona,,Chiricahua M.,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333542,Knull,J.N.,,1935,6,2,VI-2-35,Acmaeodera hulli,Knull,,buprestidae,Knull,1943,USA,Arizona,,Chiricahua M.,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333543,Knull,J.N.,,1935,6,3,VI-3-35,Acmaeodera hulli,Knull,,buprestidae,Knull,1943,USA,Arizona,,Chiricahua M.,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333544,,,,1925,6,16,VI-16-25,Acmaeodera jocosa,Fall,,buprestidae,Knull,1938,USA,California,,Pasadena,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333545,Knowlton,G.F.,,1943,5,5,"May 5, 1943",Acmaeodera knowltoni,Barr,,buprestidae,R.L. Westcott,,USA,Utah,,Weeping Rock,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333546,,,,1912,5,28,V-28-12,Acmaeodera labyrinthica,Fall,,buprestidae,C.A. Frost,,USA,California,,Milpitas,,,,,,,,,,on poppy,adult,,,,pinned,,UMSP,,english
UMSP000333547,,,,1912,5,28,V-28-12,Acmaeodera labyrinthica,Fall,,buprestidae,C.A. Frost,,USA,California,,Milpitas,,,,,,,,,,on poppy,adult,,,,pinned,,UMSP,,english
UMSP000333548,Lugger,O.,,,,,,Acmaeodera mariposa,Horn,,buprestidae,Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333549,Lugger,O.,,,,,,Acmaeodera miliaris,Horn,,buprestidae,Knull,,USA,New Mexico,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333550,Wiley,G.O.,,1921,4,7,"April 7, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333551,Knutson,H.,,1940,3,21,March 21 1940,Acmaeodera neglecta,Fall,,buprestidae,Knull,1943,USA,Texas,Leon,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333552,Penner,L.R.,,1937,6,17,"June 17, 1937",Acmaeodera neglecta,Fall,,buprestidae,Knull,1943,USA,Arkansas,,Green Forest,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333553,Knutson,H.,,1940,3,21,March 21 1940,Acmaeodera neglecta,Fall,,buprestidae,Knull,1943,USA,Texas,Leon,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333554,Knutson,H.,,1940,3,21,March 21 1940,Acmaeodera neglecta,Fall,,buprestidae,Knull,1943,USA,Texas,Leon,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333555,Wiley,G.O.,,1921,6,4,"June 4, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333556,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333557,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333558,Wiley,G.O.,,1921,4,2,"April 2, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333559,Wiley,G.O.,,1921,4,29,"April 29, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333560,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333561,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333562,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333563,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333564,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333565,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333566,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333567,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333568,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333569,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333570,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333571,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333572,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333573,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333574,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333575,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333576,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333577,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333578,Wiley,G.O.,,1921,5,15,"May 15, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333579,Wiley,G.O.,,1921,3,29,"March 29, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333580,Wiley,G.O.,,1921,4,18,"April 18, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333581,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333582,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333583,Wiley,G.O.,,1921,4,18,"April 18, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333584,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333585,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333586,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333587,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333588,Wiley,G.O.,,1921,4,13,Apr 13 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333589,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333590,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333591,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333592,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333593,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333594,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333595,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333596,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333597,Wiley,G.O.,,1921,4,13,Apr 13 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333598,Wiley,G.O.,,1921,4,13,Apr 13 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333599,Wiley,G.O.,,1921,5,29,"May 29, 1921. ",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333600,Wiley,G.O.,,1921,4,18,Apr 18 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333601,Wiley,G.O.,,1921,4,18,Apr 18 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333602,Ainslie,C.N.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333603,Wiley,G.O.,,1921,4,23,Apr 23 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,,Cisco,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333604,Wiley,G.O.,,1921,4,13,Apr 13 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333605,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333606,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333607,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333608,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333609,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333610,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333611,Frost,C.A.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,C.A. Frost,,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333612,Wiley,G.O.,,1921,5,29,"May 29, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333613,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333614,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333615,Lugger,O.,,,,,,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333616,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333617,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333618,Wiley,G.O.,,1921,4,22,"April 22, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1928,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333619,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333620,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333621,Wiley,G.O.,,1921,4,25,"April 25, 1921",Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1922,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333622,Wiley,G.O.,,1921,3,30,March 30 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333623,Wiley,G.O.,,1921,5,1,May 1 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333624,Wiley,G.O.,,1921,3,30,March 30 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333625,Wiley,G.O.,,1921,4,28,April 28 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333626,Wiley,G.O.,,1921,3,30,March 30 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333627,Wiley,G.O.,,1921,3,30,March 30 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333628,Wiley,G.O.,,1921,4,8,Apr 8 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333629,Wiley,G.O.,,1921,4,29,4/29/21,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333630,Wiley,G.O.,,1921,4,29,Apr 29/21,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333631,Wiley,G.O.,,1921,3,30,March 30 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333632,Wiley,G.O.,,1921,4,29,4/29/21,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
UMSP000333633,Wiley,G.O.,,1921,5,1,May 1 1921,Acmaeodera neglecta,Fall,,buprestidae,J.N. Knull,1938,USA,Texas,Eastland,,,,,,,,,,,,adult,,,,pinned,,UMSP,,english
