catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,elevationunits,verbatimelevation,verbatimcoordinates,georeferencedby,georeferencesources,host,occurrenceremarks,lifestage,sex,individualcount,samplingprotocol,preparations,typestatus,ownerinstitutioncode,basisofrecord,language
UMSP000333413,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333414,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333415,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333416,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333417,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333418,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333419,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333420,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333421,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333422,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333423,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,Knull,1938,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333424,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333425,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333426,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333393,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333394,Keene,P.L.,,1925,6,23,"June 25, 1925",Agrilus anxius,Say,,buprestidae,J.N. Knull,1928,USA,Minnesota,,Owatonna,,,,,,,,,,birch borer,adult,,,,pinned,,UMSP,,English
UMSP000333395,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,Duluth,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
UMSP000333396,,,,,,,,Agrilus anxius,Gory,,buprestidae,J.N. Knull,1922,USA,Minnesota,,,,,,,,,,,,,adult,,,,pinned,,UMSP,,English
