catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,host,occurrenceremarks,samplingprotocol,,,,,,,,
UMSP000333136,Hallinen,M.,E. Lee,2017,7,24,July 24 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Hennepin,Scenic Heights Elementary,44.901319,-93.496973,,,C. fumipennis nesting site,,,,,,,,,
,,,,2018,7,24,,Agrilus bilineatus,,,buprestidae,,,USA,Minnesota,Washington,,,,,,,,,,,,,,,
UMSP000363308,Niemiec,W.,,2017,7,24,VII 24 2017,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Washington,"Afton State Park, Afton",44.86677,-92.778637,,,,adult,,,,,,,,
UMSP000363309,Niemiec,W.,,2017,7,24,VII 24 2017,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Washington,"Afton State Park, Afton",44.86677,-92.778637,,,,adult,,,,,,,,
UMSP000363310,Niemiec,W.,,2017,7,24,VII 24 2017,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Washington,"Afton State Park, Afton",44.86677,-92.778637,,,,adult,,,,,,,,
UMSP000333133,Haynes,P.,,2017,7,27,July 27 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Ramsey,Autumn Grove Park,45.032145,-93.15842,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333044,Hallinen,M.,,2017,7,27,July 27 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Washington,Marine Elementary Ballpark,45.2027,-92.7727,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333049,Hallinen,M.,,2017,7,27,July 27 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Washington,Marine Elementary Ballpark,45.2027,-92.7727,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333134,Haynes,P.,,2017,7,28,July 28 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Washington,New Scandia T-Ball Field,45.250134,-92.802987,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333046,Haynes,P.,,2017,7,29,July 29 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Swenson Park,45.339759,-92.990986,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333047,Haynes,P.,,2017,7,29,July 29 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Swenson Park,45.339759,-92.990986,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333048,Haynes,P.,,2017,7,29,July 29 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Swenson Park,45.339759,-92.990986,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333050,Haynes,P.,,2017,7,29,July 29 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Swenson Park,45.339759,-92.990986,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333045,Hallinen,M.,,2017,7,29,July 29 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
UMSP000363842,Wilson,J.,,2017,7,29,VII 29 2017,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Chisago,"Tolzmann Park, Wyoming",45.347216,-92.993668,,,,adult,,,,,,,,
UMSP000333101,,,,1912,7,29,VII-29-12,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333135,Hallinen,M.,,2017,7,30,July 30 2017,Agrilus bilineatus,Weber,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Banta Park,45.30746,-92.992807,,,C. fumipennis nesting site,,,,,,,,,
UMSP000334484,Hahn,J.D.,,1978,6,1,1-VI-1978,Agrilus cyanescens,Ratzeburg,,buprestidae,R.L. Westcott,,USA,Wisconsin,Waukesha,,,,,,,,,,,,,,,
UMSP000334485,,,,1930,6,17,VI.17.30,Agrilus defectus,LeConte,,buprestidae,J.N. Knull,1928,USA,,Norman,inn,,,,,,,,,,,,,,
UMSP000334486,Knull,J.N.,,1920,6,7,VI-7-20,Agrilus defectus,LeConte,,buprestidae,J.N. Knull,1928,USA,Pennsylvania,,Hummelstown,,,,,,,,,,,,,,
UMSP000334487,,,,1920,6,16,VI-16-20,Agrilus defectus,LeConte,,buprestidae,J.N. Knull,1928,USA,,Norman,inn,,,,,,,,,,,,,,
UMSP000334488,Lugger,O.,,,,,,Agrilus difficilis,Gory,,buprestidae,Knull,1938,,,,,,,,,Hackberry,,,,,,,,,
UMSP000334489,Lugger,O. ,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,,,,,,,,,,Hackberry,,,,,,,,,
UMSP000334490,,,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,1922,USA,Missouri,,,,,,,,,,,,,,,,
UMSP000334491,,,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,1922,USA,Louisiana,,,,,,,,,,,,,,,,
UMSP000334492,,,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,1922,USA,Missouri,,,,,,,,,,,,,,,,
UMSP000334493,,,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,1922,USA,Missouri,,,,,,,,,,,,,,,,
UMSP000334494,,,,,,,,Agrilus difficilis,Gory,,buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,,,,
UMSP000333123,Kuehn,B.,,2014,8,1,01.viii.2014,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2015,USA,Minnesota,Washington,"Northdale Park, Oakdale",45.024136,-92.972632,,,,,,,,,,,,
UMSP000333129,Niemiec,W.,,2016,8,10,10.viii.2016,Agrilus bilineatus,Weber,,buprestidae,W.P. Steffens,2017,USA,Minnesota,Washington,"Afton State Park, Afton",44.86677,-92.778637,,,,,,,,,,,,
UMSP000333172,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333173,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333174,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between XII-31-01 and I-10-02,,,,,,,,,
UMSP000333175,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333176,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333177,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333178,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between XII-31-01 and I-10-02,,,,,,,,,
UMSP000333179,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333180,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333181,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333182,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333183,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333183,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between XII-31-01 and I-10-02,,,,,,,,,
UMSP000333185,Albers,M.,,2001,12,12,XII-12-01,Agrilus bilineatus,Weber,,buprestidae,C.L. Bellamy,2003,USA,Minnesota,Itasca,St. Jopseph's Church Grand Rapids,47 12'44''N,93 32'12''W,,,ex. emerged from felled Quercus rubra between 1-21-02 and 1-25-02,,,,,,,,,
UMSP000333146,Oestlund,O.W.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333147,Oestlund,O.W.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333148,Oestlund,O.W.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333155,Oestlund,O.W.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333157,Oestlund,O.W.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333140,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333141,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333142,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333143,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333150,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333151,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333153,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333154,Ainslie,C.N.,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333161,,,,,,,,Agrilus bilineatus,Weber,,buprestidae,J.N. Knull,1922,USA,Minnesota,,,,,,,,,,,,,,,,
UMSP000333149,Knight,H.H.,,1923,6,11,VI-11-1923,Agrilus carpini,Knull,var. carpini,buprestidae,J.N. Knull,1928,USA,Minnesota,Ramsey,,,,,,,,,,,,,,,
UMSP000333119,Dawson,R.W.,,1927,6,30,"June 30, 1927",Agrilus carpini,Knull,var. carpini,buprestidae,Knull,1938,USA,Minnesota,Scott,Jordan,,,,,,,,,,,,,,
UMSP000333062,Hallinen,M.,J. Ure,2017,7,11,July 11 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333061,Springman,K.,,2016,7,16,16.vii.2016,Agrilus carpini,Knull,,buprestidae,W.P. Steffens,2017,USA,Minnesota,Chisago,"Tolzmann Park, Wyoming",45.347216,-92.993668,,,,,,,,,,,,
UMSP000333066,Hallinen,M.,,2017,7,16,July 16 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Hennepin,Scenic Heights Elementary,44.901319,-93.496973,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333067,Hallinen,M.,,2017,7,16,July 16 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Hennepin,Scenic Heights Elementary,44.901319,-93.496973,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333065,Hallinen,M.,,2017,7,20,July 20 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
UMSP000363382,Fossum,J.,,2017,7,21,21.vii.2017,Agrilus carpini,Knull,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Hennepin,Scenic Heights Elementary,44.901319,-93.496973,,,,adult,,,,,,,,
UMSP000333064,Hallinen,M.,,2017,7,29,July 29 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
UMSP000363807,Hallinen,M.,,2017,7,29,July 29 2017,Agrilus carpini,Knull,,buprestidae,Marie Hallinen,10.x.2017,USA,Minnesota,Chisago,Taylor Falls Elementary,45.406507,-92.65621,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333063,Lee,E.,,2017,7,31,Julyl 31 2017,Agrilus carpini,Knull,,buprestidae,M. Hallinen,10.x.2017,USA,Minnesota,Hennepin,Scenic Heights Elementary,44.901319,-93.496973,,,C. fumipennis nesting site,,,,,,,,,
UMSP000363409,Heeren,E.,,2017,8,11,11.viii.2017,Agrilus carpini,Knull,,buprestidae,W.P. Steffens,2018,USA,Minnesota,Washington,"Marine Elementary, Marine on St. Croix",45.202698,-92.772702,,,,adult,,,,,,,,
UMSP000333077,Oestlund,O.W.,,,,,,Agrilus celti,Knull,or egenus,buprestidae,J.N. Knull,1938,USA,Minnesota,Cass,,,,,,,,,,,,,,,
UMSP000333069,Kretzschmar,G.,,1941,5,30,"May 30, 1941",Agrilus celti,Knull,,buprestidae,Knull,1943,USA,Minnesota,Houston,Miss. Bluff,,,,,,,,,,,,,,
UMSP000333070,Kretzschmar,G.,,1941,5,30,"May 30, 1941",Agrilus celti,Knull,,buprestidae,Knull,1943,USA,Minnesota,Houston,Miss. Bluff,,,,,,,,,,,,,,
UMSP000333079,Ainslie,C.N.,,,7,,July 05,Agrilus celti,Knull,or egenus,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333080,Ainslie,C.N.,,,,,,Agrilus celti,Knull,or egenus,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333005,Ainslie,C.N.,,,,,,Agrilus celti,Knull,or egenus,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333085,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333076,,,,1912,6,4,6-4-12,Agrilus celti,Knull,"or egenus, genitalia study necessary",buprestidae,,,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333003,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333006,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333010,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333008,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,or egenus,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Park,,,,,,,,,,,,,,
UMSP000333083,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Pk.,,,,,,,,,,,,,,
UMSP000333084,,,,1912,6,4,6-4-'12,Agrilus celti,Knull,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,St. Anthony Pk.,,,,,,,,,,,,,,
UMSP000334551,Easter,S.S.,,1940,4,16,4-16-1940,Brachys Floricola,Kerremans,,buprestidae,Knull,1942,USA,Florida,Crestview,,,,,,,,,,,,,,,
UMSP000334552,Dawson,R.W.,,1937,April,2,"Apr. 2, 1937",Brachys floricola,Kerremans,,buprestidae,Knull,1938,USA,Florida,Miami,,,,,,,,,,,,,,,
UMSP000334553,Lugger,O.,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1928,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334554,Knull,J.N.,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,Miami,,,,,,,,,,,,,,,
UMSP000334555,,,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334556,Lugger,O.,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1928,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334557,,,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334558,Knull,J.N.,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,Miami,,,,,,,,,,,,,,,
UMSP000334559,,,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334560,,,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334561,,,,,,,,Brachys floricola,Kerremans,,buprestidae,J.N. Knull,1922,USA,Florida,,,,,,,,,,,,,,,,
UMSP000334562,Knull,J.N.,,,,,,Brachys fascifernus,Schwarz,,buprestidae,J.N. Knull,1922,USA,Florida,LaBelle,,,,,,,,,,,,,,,
UMSP000334563,Knull,J.N.,,,,,,Brachys fascifernus,Schwarz,,buprestidae,J.N. Knull,1922,USA,Florida,LaBelle,,,,,,,,,,,,,,,
UMSP000334564,Knull,J.N.,,,,,,Brachys fascifernus,Schwarz,,buprestidae,J.N. Knull,1922,USA,Florida,LaBelle,,,,,,,,,,,,,,,
UMSP000334565,Knull,J.N.,,,,,,Brachys fascifernus,Schwarz,,buprestidae,J.N. Knull,1922,USA,Florida,LaBelle,,,,,,,,,,,,,,,
UMSP000333071,Granovsky,A.A.,,1936,6,7,June 7 1936,Agrilus celti,Knull,,buprestidae,Knull,1942,USA,Minnesota,Ramsey,"St. Paul, U. Golf course",,,,,,light trap,,,,,,,,
UMSP000363808,Hallinen,M.,"B. Turgut, J. Ure, P. Haynes",2017,7,12,July 12 2017,Agrilus celti,Knull,,buprestidae,Marie Hallinen,10.x.2017,USA,Minnesota,Ramsey,Battle Creek Middle School,44.947459,-93.011506,,,C. fumipennis nesting site,,,,,,,,,
UMSP000333072,Knight,H.H.,,1924,7,25,"July 25 ,1924",Agrilus celti,Knull,,buprestidae,Knull,1928,USA,Minnesota,Ramsey,St. Anthony Pk.,,,,,,,,,,,,,,
UMSP000334569,Lugger,O.,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1922,USA,District of Columbia ,,,,,,,,,,,,,,,,
UMSP000334570,Lugger,O.,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1922,USA,Maryland,,,,,,,,,,,,,,,,
UMSP000334571,Lugger,O.,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1928,USA,Maryland,,,,,,,,,,,,,,,,
UMSP000334572,Lugger,O.,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1928,USA,Maryland,,,,,,,,,,,,,,,,
UMSP000334573,Lugger,O.,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1928,USA,Maryland,,,,,,,,,,,,,,,,
UMSP000333074,Knight,H.H.,,1924,7,25,"July 25 ,1924",Agrilus celti,Knull,,buprestidae,J.N. Knull,1928,USA,Minnesota,Ramsey,St. Anthony Pk.,,,,,,,,,,,,,,
UMSP000333959,,,,2004,6,22,6-22-2004,Agrilus cephalicus,LeConte,,buprestidae,Luhman,,USA,Minnesota,Stearns,"09DD trap# 053, Ag-PP bb survey, B.R. MDA",,,,,,,,,,,,,,
,,,,2018,7,14,,Agrilus cliftoni,,,buprestidae,,,USA,Minnesota,Goodhue,,,,,,,,,,,,,,,
UMSP000333967,Knight,H.H.,,1922,6,12,"June 12, 1922",Agrilus crataegi,Frost,,buprestidae,J.N. Knull,1922,USA,Minnesota,Fairbault,Faribault,,,,,,,,,,,,,,
UMSP000334578,,,,,,,,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1922,USA,Kansas,,,,,,,,,,,,,,,,
UMSP000334579,Haber,V.R.,,15,6,23,6.23.15,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,,,Cedar Point,,,,,,,,,,,,,,,,
UMSP000334580,Hertig,Marshall,,1928,8,3,"Aug. 3, 1928",Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,1928,USA,Massachusetts ,Boston,Chestnut Hill,,,,,,,,,,,,,,
UMSP000334581,Ainslie,C.N.,,1925,6,6,June 6 1925,Brachys aeruginosus,Gory,,buprestidae,J.N. Knull,,USA,North Dakota,Beach,,,,,,,,,,,,,,,
UMSP000333968,Knight,H.H.,,1922,6,12,"June 12, 1922",Agrilus crataegi,Frost,,buprestidae,J.N. Knull,1922,USA,Minnesota,Fairbault,Faribault,,,,,,,,,,,,,,
UMSP000333969,Knight,H.H.,,1922,6,12,"June 12, 1922",Agrilus crataegi,Frost,,buprestidae,J.N. Knull,1922,USA,Minnesota,Fairbault,Faribault,,,,,,,,,,,,,,
UMSP000334243,Keene,P.L.,,1923,6,20,"June 20, 1923",Agrilus crataegi,Frost,,buprestidae,J.N. Knull,1928,USA,Minnesota,Rice,Northfield,,,,,,,,,,,,,,
UMSP000334247,Knight,H.H.,,1922,6,30,"June 30, 1922",Agrilus crinicornis,Horn,,buprestidae,J.N. Knull,1922,USA,Minnesota,Winona,Kings Bluff,,,,,,,,,,,,,,
UMSP000334250,Knight,H.H.,,1922,6,30,"June 30, 1922",Agrilus crinicornis,Horn,,buprestidae,J.N. Knull,1922,USA,Minnesota,Winona,Kings Bluff,,,,,,,,,,,,,,
UMSP000334463,,,,1987,5,15,15 May 1987,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Isanti,Cedar Creek Natural History Area CBC,,,,,,,,,,,,,,
UMSP000334253,Peters,H.T.,,1939,5,27,May 27 1939,Agrilus cuprescens,Menetries,var. rubricola,buprestidae,Knull,1942,USA,Minnesota,Houston,,,,,,,,,,,,,,,
UMSP000334256,Peters,H.T.,,1939,5,27,May 27 1939,Agrilus cuprescens,Menetries,,buprestidae,Knull,1943,USA,Minnesota,Houston,,,,,,,,,,,,,,,
UMSP000334270,,,,1985,5,28,28 May 1985,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334271,,,,1985,5,28,28 May 1985,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334465,,,,1991,5,29,29 May 1991,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334254,Hughes,J. ,,1941,5,29,5-29-41,Agrilus cuprescens,Menetries,,buprestidae,Knull,1943,USA,Minnesota,Goodhue,"Frontenac, Lake Pepin",,,,,,,,,,,,,,
UMSP000334454,,,,1985,5,30,30 May 1985,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334469,,,,1992,5,30,30 May 1992,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek NHA SWE,,,,,,,,,,,,,,
UMSP000334481,,,,1992,5,30,30 May 1992,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek NHA SWE,,,,,,,,,,,,,,
UMSP000334482,,,,1992,5,30,30 May 1992,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek NHA SWE,,,,,,,,,,,,,,
UMSP000334263,,,,1987,6,1,1 June 1987,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Isanti,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334269,,,,1985,6,12,12 June 1985,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area,,,,,,,,,,,,,,
UMSP000334450,,,,1988,6,13,13 Jun 1988,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area TM6,,,,,,,,,,,,,,
UMSP000334157,,,,1990,6,14,14 June 1990,Agrilus cuprescens,Menetries,,buprestidae,,,USA,Minnesota,Anoka,Cedar Creek Natural History Area SWS,,,,,,,,,,,,,,
