catalognumber,collectorfamilyname,collectorinitials,associatedcollectors,year,month,day,verbatimeventdate,scientificname,scientificnameauthorship,identificationqualifier,family,identifiedby,dateidentified,country,stateprovince,county,locality,latdeg,lngdeg,elevationnumber,host,occurrenceremarks,samplingprotocol,,,,,,,,
UMSP000333419,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,,,,
UMSP000333420,Lugger,Otto,,,,,,Agrilus angustulus,Ill.,,buprestidae,Charles Sajo,,Germany,,,,,,,,,,,,,,,,,
UMSP000333421,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,,,,
UMSP000333422,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,,,,
UMSP000333423,Knull,D.J.,J.N. Knull,1937,8,4,VIII-4-37,Agrilus addendus,Crotch,,buprestidae,Knull,1938,USA,Texas,Uvalde,Uvalde,,,,,,,,,,,,,,
UMSP000333424,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000333425,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000333426,,,,,,,,Agrilus addendus,Crotch,,buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000333823,Oestlund,O.W.,,1938,6,16,6/16 38,Acmaeodera pulchella,Herbst,,buprestidae,Knull,1943,USA,Minnesota,Hennepin,,,,,,,,,,,,,,,
UMSP000333896,,,,1910,6,20,6/20/10,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Fairbault,,,,,,,,,,,,,,,
UMSP000338749,Ordway,E.,,1976,6,21,VI - 21 - 76,Acmaeodera pulchella,Herbst,,buprestidae,,,USA,Minnesota,Pope,"Strandness Prairie, 5 mi NE Starbuck",,,,,,,,,,,,,,
UMSP000333819,Nichol,A.A.,,1921,6,21,June 21 1921,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333921,Nichol,A.A.,,1921,6,21,"June 21, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333932,Nichol,A.A.,,1921,6,21,"June 21, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333907,Dawson,R.W.,,1923,6,22,"June 22, 1923",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Nicollet,St. Peter,,,,,,,,,,,,,,
UMSP000333920,Nichol,A.A.,,1921,6,22,"June 22, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333930,Nichol,A.A.,,1921,6,22,"June 22, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333931,Nichol,A.A.,,1921,6,22,"June 22, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000338704,Yenger,C.R.,,1934,6,24,"June 24-30, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338722,Tenger,C.R.,,1924,6,24,"June 24-30, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338731,Tenger,C.R.,,1934,6,24,"June 24-30, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Kanabec,Mora,,,,,,,,,,,,,,
UMSP000338732,Ainslie,C.N.,,1898,6,24,6 24 98,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000333885,Hertig,A.,,1921,6,24,6/24/1921,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Ramsey,"St. Paul, U. Farm",,,,,,,,,,,,,,
UMSP000333933,Nichol,A.A.,,1921,6,24,"June 24, 1921",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Steele,Owatonna,,,,,,,,,,,,,,
UMSP000333866,Hoffmann,C.H.,,1933,6,25,"June 25, 1933",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Chisago,Harris,,,,,,,,,,,,,,
UMSP000338741,Hoffmann,C.H.,,1933,6,25,"June 25, 1933",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Chisago,Harris,,,,,,,,,,,,,,
UMSP000333869,Pletsch,D.J.,,1933,6,26,6-26-33,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Fairbault,Faribault,,,,,,,,,,,,,,
UMSP000338729,Hoffman,C.H.,,1932,6,27,"June 27, 1932",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Anoka,Bunker Prairie,,,,,Sand Dunes,,,,,,,,,
UMSP000338708,Hoffman,C.H.,,1932,6,27,"June 27, 1932",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Anoka,Bunker Prairie ,,,,,Sand Dunes,,,,,,,,,
UMSP000338712,Ainslie,C.N.,,1898,6,28,5 28 98,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000338730,Ainslie,C.N.,,1898,6,28,6 28 98,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Olmsted,,,,,,,,,,,,,,,
UMSP000142921,,,,1924,6,14,VI-14 1924,Acmaeodera acuta,LeConte,,Buprestidae,C. A. Frost,,USA,California,Los Angeles,,,,,,,,,,,,,,,
UMSP000142922,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,Knull,1938,USA,Arizona,Wickenburg,,,,,,,,,,,,,,,
UMSP000142923,Parker,F.H.,,1938,9,2,"Sept. 2, 1938",Acmaeoderopsis junki,Thery,,Buprestidae,F.H. Parker,1940,USA,Arizona ,San Carlos,,,,,,,,,,,,,,,
UMSP000142924,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,,,,
UMSP000142925,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,,,,
UMSP000142926,Knull,D.J.,J.N. Knull,1937,6,16,VI-16-37,Acmaeoderopsis junki,Thery,,Buprestidae,J.N. Knull,,USA,Arizona,Wickenburg,,,,,,,,,,,,,,,
UMSP000142927,Lugger,O.,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000142928,Lugger,O.,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000142929,,,,,,,,Acmaeodera acuta,LeConte,,Buprestidae,J.N. Knull,1922,USA,California,,,,,,,,,,,,,,,,
UMSP000142930,Stevenson,R.H.R,,1928,8,1,8.1.1928,Agelia lordi,Walker,,Buprestidae,,,Zimbabwe,,,S Rhodesia,,,,,,,,,,,,,,
UMSP000142931,Junod,H.,Rikolls,,,,,Agelia peteli,Gory,,Buprestidae,,,Probably South Africa,,,,,,,,,,,,,,,,,
UMSP000142932,Manley,G.V.,,1974,4,14,14 April 1974,Agrilus abductus,Horn,,Buprestidae,G. Manley,,USA,Texas,Burleson,Somerville lake,,,,,,,,,,,,,,
UMSP000142933,Manley,G.V.,,1974,4,13,13 April 1974,Agrilus abductus,Horn,,Buprestidae,G. Manley,,USA,Texas,Burleson,Somerville lake,,,,,,,,,,,,,,
UMSP000142934,Knull,D.J.,J.N. Knull,1937,8,8,VIII-8-37,Agrilus acaciae,Fisher,,Buprestidae,Knull,1938,USA,Texas,Brownsville,,,,,,,,,,,,,,,
UMSP000338715,Denning,D.,,1932,6,28,"June 28, 1932",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Ramsey,Battle Creek,,,,,,,,,,,,,,
UMSP000333884,Hertig,A.,,1921,6,28,6/28 1921,Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1928,USA,Minnesota,Ramsey,"St. Paul, U. Farm",,,,,,,,,,,,,,
UMSP000142937,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Missouri,,,,,,,,,,,,,,,,
UMSP000338692,Lund,H.O.,,1934,6,29,"June 29, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Crow Wing,Brainard,,,,,,,,,,,,,,
UMSP000142939,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Kansas,,,,,,,,,,,,,,,,
UMSP000142940,Wiley,G.O.,,1922,4,21,April 21 1922,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Texas,Colorado,,,,,,,,,,,,,,,
UMSP000142941,Frost,C.A.,,,8,12,VI/line break/8-12 ,Agrilus acutipennis,Mannerheim,,Buprestidae,C.A. Frost,,USA,Massachusetts,,"Sherborn, sweeping corylus",,,,,,Sweeping corylus,,,,,,,,
UMSP000333871,Lund,H.O.,,1934,6,29,"June 29, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Crow Wing,Brainerd,,,,,,,,,,,,,,
UMSP000338726,Lund,H.O.,,1934,6,29,"June 29, 1934",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1938,USA,Minnesota,Crow Wing,Brainerd,,,,,,,,,,,,,,
UMSP000333941,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000333947,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000142946,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Virginia,,,,,,,,,,,,,,,,
UMSP000333948,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000333949,Hertig,A.T.,,1922,6,30,"June 30, 1922",Acmaeodera pulchella,Herbst,,buprestidae,J.N. Knull,1922,USA,Minnesota,Ramsey,New Brighton,,,,,,,,,,,,,,
UMSP000142949,Oestlund,O.W.,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,,USA,Illinois,,Moline,,,,,,,,,,,,,,
UMSP000142950,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Texas,,,,,,,,,,,,,,,,
UMSP000142951,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Missouri,,Minn. Univ. Lot Sub,,,,,,,,,,,,,,
UMSP000142952,,,,,,,,Agrilus acutipennis,Mannerheim,,Buprestidae,J.N. Knull,1922,USA,Maryland,,Minn. Univ. Lot Sub,,,,,,,,,,,,,,
UMSP000142953,,,,,,,,Agrilus addendus,Crotch,,Buprestidae,J.N. Knull,1922,USA,Texas,,Minn. Univ. Lot Sub,,,,,,,,,,,,,,
UMSP000142954,,,,1936,7,27,VII-27-36,Acmaeodera alicia,Fall,,Buprestidae,J.N. Knull,,USA,Arizona,Tucson,,,,,,,,,,,,,,,
UMSP000142955,,,,1936,8,13,VIII-13-36,Acmaeodera alicia,Fall,,Buprestidae,J.N. Knull,,USA,Arizona,Tucson,,,,,,,,,,,,,,,
UMSP000142956,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,,,,
UMSP000142957,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,,,,
UMSP000142958,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,,,,
UMSP000142959,Lugger,O.,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,J.N. Knull,1922,USA,Arizona,,,,,,,,,,,,,,,,
UMSP000142960,Culver,,"Cheary, Smith, Wargo",1969,9,12,IX-12-69,Acmaeodera amplicollis,LeConte,,Buprestidae,G. Manley,,USA,Arizona,Gila,6mi. North Payson,,,,,,,,,,,,,,
UMSP000142961,,,,,,,,Acmaeodera amplicollis,LeConte,,Buprestidae,,,,,,,28º51.9ºN,,,,,,,,,,,,,
UMSP000142962,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,
UMSP000142963,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,
UMSP000142964,,,,,,,,,,,Buprestidae,,,,,,,,,,,,,,,,,,,,
UMSP000142965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMSP000142966,Knull,D.J.,J.N. Knull,1937,6,8,VI-8-37,Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,J.N. Knull,1938,USA,Arizona,,Santa Rita M,,,,,,,,,,,,,,
UMSP000142967,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,,,,
UMSP000142968,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,,,,
UMSP000142969,Parker,F.H.,,1938,6,9,"June 9, 1938",Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,F.H. Parker,1940,USA,Arizona,Globe,,,,,,,,,,,,,,,
UMSP000142970,Knull,D.J.,J.N. Knull,1937,6,8,VI-8-37,Acmaeoderopsis varipilis,Van Dyke,,Buprestidae,J.N. Knull,,USA,Arizona,,Santa Rita M,,,,,,,,,,,,,,
UMSP000142971,Knull,J.N.,,1922,,,1922,Actenodes acornis,Say,,Buprestidae,J.N. Knull,,USA,New Jersey,,,,,,,,,,,,,,,,
UMSP000142972,Philips,E.H.,,1936,6,12,"June 12, 1936",Actenodes acornis,Say,,Buprestidae,Knull,1938,USA,New Jersey,Radburn,,,,,On an elm,,,,,,,,,,
UMSP000142973,Lugger,O.,,,,,,Actenodes acornis,Say,,Buprestidae,J.N. Knull,1922,USA,New Jersey,,,,,,,,,,,,,,,,
